name,id
,1
Leah,2
Oline,3
Annette,4
Van,5
Nissine,6
Juliette,7
Zita,8
Merle,9
Farida,10
Shirley,11
Pipaluk,12
Elsebeth,13
Hilma,14
Vally,15
Oluffa,16
Ottilie,17
Andersine,18
Ottilia,19
Sandy,20
Melisa,21
Christin,22
Edda,23
Eddy,24
Nielsigne,25
Huong,26
G,27
Puk,28
Dilek,29
Blenda,30
Wicki,31
Sally,32
Elli,33
Stephanie,34
Inge-Lis,35
Anne-Birgitte,36
Beatrice,37
Benedicte,38
Elisabeth,39
Benthe,40
Thomasine,41
Emmely,42
Laurine,43
Anne-Margrethe,44
June,45
Johanna,46
Johanne,47
Christina,48
Christine,49
Olga,50
V,51
Josefa,52
Kaia,53
Luna,54
Tessa,55
Petrine,56
Le,57
Lia,58
La,59
Annabell,60
Lin,61
Sara,62
Annegrethe,63
Li,64
Vesna,65
Liv,66
Freia,67
Lis,68
Mildrid,69
Ronja,70
Agneta,71
Agnete,72
Miranda,73
Monika,74
Kay,75
Maj-Brit,76
Renee,77
Mariam,78
Marian,79
Elisabet,80
Bonne,81
Wilhelmina,82
Konny,83
Wilhelmine,84
Janette,85
Tabita,86
Jeanette,87
Nynne,88
Sigridur,89
Myrna,90
Ali,91
Mabel,92
Irena,93
Irene,94
Ursula,95
Gabriela,96
Gabriele,97
Inge,98
Inga,99
Laurence,100
Suzan,101
Annelise,102
Ann-Mari,103
Lenette,104
Leonie,105
Najannguaq,106
Souad,107
Dora,108
Helen,109
Birte,110
Birta,111
Thordis,112
Ditte,113
Anne-Grete,114
Siham,115
Jama,116
Boline,117
Vitta,118
Stina,119
Stine,120
Mary-Ann,121
Eliza,122
Kirsti,123
Susie,124
Gina,125
Jeanne,126
Katrin,127
Mimmi,128
Zenia,129
Aisha,130
Safia,131
Vibeke,132
Sanela,133
Alfrida,134
Ege,135
Vini,136
Regitse,137
Tilde,138
Dorothea,139
Cicilie,140
Inger,141
Zandra,142
Kaja,143
Jasmin,144
Sonia,145
Rebecca,146
Henrietta,147
B,148
Henriette,149
Gundhild,150
Dinna,151
Sannie,152
Annelis,153
Githa,154
Natasha,155
Ilse,156
Salma,157
Galina,158
Adela,159
Ilona,160
Cassandra,161
Sussie,162
Gerd,163
Nuka,164
Angela,165
Phuong,166
Lavra,167
Abigael,168
Selina,169
Magdaline,170
Jasmina,171
Jasmine,172
Thea,173
Sys,174
Erla,175
Stinna,176
Derya,177
Stinne,178
Samira,179
Birgitte,180
Birgitta,181
Lucy,182
Elisebeth,183
Teodora,184
Hedwig,185
Sofia,186
Sofie,187
Bodil,188
Samia,189
Sinne,190
Gyde,191
Gyda,192
Anny,193
Abdul,194
Nita,195
Guldborg,196
Anni,197
Lynge,198
Anne,199
Guri,200
Anna,201
Rosemarie,202
Amani,203
Thanh,204
Yusuf,205
Dorthea,206
Gunder,207
Matilde,208
Matilda,209
Paninnguaq,210
Nete,211
Hildegard,212
Emelie,213
Rie,214
Lykke,215
Ria,216
Rigmor,217
Bella,218
Benedikte,219
Debbie,220
Bolethe,221
Mathilde,222
Elvi,223
Mathilda,224
Rise,225
Judithe,226
Rud,227
Micha,228
Rut,229
Hacer,230
C,231
Dusine,232
Natascha,233
Elga,234
Dorit,235
Wilma,236
Krestine,237
Doris,238
Veronica,239
Dagmar,240
Annine,241
Sanja,242
Annina,243
Laura,244
Amina,245
Karen,246
Inge-Merete,247
Conni,248
Nathasja,249
Kaya,250
Conny,251
Trine,252
Inger-Marie,253
Tenna,254
Gladys,255
Ninna,256
Nethe,257
Malak,258
Georgia,259
Ute,260
Hildeborg,261
Maja,262
Trang,263
Jamila,264
Alexandra,265
Ulla,266
Elif,267
Marine,268
Elin,269
Heine,270
Katarina,271
Magnhild,272
Justine,273
Ellis,274
Nan,275
Irmelin,276
Hansigne,277
Meng,278
D,279
Jacqueline,280
Yelva,281
Catharine,282
Catharina,283
Maibritt,284
Amelia,285
Amelie,286
Alexandrine,287
Runa,288
Elfrida,289
Minh,290
Othilia,291
Othilie,292
Mina,293
Lulu,294
Mine,295
Sonja,296
Gunilla,297
Sarah,298
De,299
Othilde,300
Fadime,301
Dorota,302
Ann-Sofie,303
Heba,304
Margaretha,305
Berthine,306
Philippa,307
Margarethe,308
Vivian,309
Emilie,310
Malvine,311
Roberta,312
Sevim,313
Freya,314
Linnea,315
Nadja,316
Alice,317
Anne-Grethe,318
Emilia,319
Lucca,320
Claudia,321
Michell,322
Michele,323
Michela,324
Elvina,325
Liza,326
Hedda,327
Elvine,328
Helga,329
Ewa,330
Hedevig,331
Inez,332
Tine,333
Francoise,334
Tina,335
Josepha,336
Winni,337
Lea,338
Gurli,339
Lee,340
Naya,341
Susann,342
Palma,343
Liddy,344
Kirsten,345
Lya,346
Alia,347
Najaaraq,348
Alis,349
Eileen,350
Vanda,351
Amalie,352
Renate,353
Amalia,354
Renata,355
Hong,356
Vinni,357
Cecillia,358
Vibe,359
Vickie,360
Gretha,361
Grethe,362
Krista,363
Adolfine,364
Caja,365
Ottine,366
Jeannette,367
Martha,368
Marthe,369
Larsine,370
Halime,371
Hana,372
Halima,373
Ann-Marie,374
Nikoline,375
Elena,376
Elene,377
Lissi,378
Lissa,379
Lisse,380
Lissy,381
Jean,382
Marianna,383
Tone,384
Marianne,385
Toni,386
Esme,387
Tonni,388
Esma,389
Majbrit,390
Tony,391
Oda,392
Tonny,393
Denice,394
Jessie,395
Siw,396
Siv,397
Rona,398
Unavngivet,399
Bergliot,400
Sia,401
Emely,402
Annemette,403
Sif,404
Ines,405
Semine,406
Betina,407
Maya,408
Eline,409
Majken,410
Francisca,411
Elina,412
Sebrina,413
Lisette,414
Andrea,415
Skyldfri,416
E,417
Susana,418
Edit,419
Ida,420
Tugba,421
Birgith,422
Bertha,423
Berthe,424
Cristina,425
Emily,426
Kirsa,427
Mitzi,428
Batseba,429
Nadia,430
Brigitta,431
Brigitte,432
Siff,433
Beathe,434
Trille,435
Annalise,436
Ofelia,437
Wanda,438
Anne-Katrine,439
Elaine,440
Erikka,441
Rana,442
Anette,443
Inge-Lise,444
Ulrikka,445
Katrina,446
Ulrikke,447
Arnaq,448
Katrine,449
Suzanne,450
Tatiana,451
Rosita,452
Bertheline,453
Jelva,454
Silvia,455
Gry,456
Nivi,457
Anitha,458
Jane,459
Gro,460
Jana,461
Antonie,462
Alina,463
Aline,464
Marita,465
Magny,466
Magna,467
Margrethe,468
Elmine,469
Emma,470
Khadija,471
Mi,472
Anneli,473
Ingefred,474
Emmy,475
Lotus,476
Lizzi,477
Birgithe,478
Annitta,479
Antonina,480
Abdel,481
Lizzy,482
Said,483
Naja,484
Kjestine,485
Jona,486
Alberta,487
Alberte,488
Tonie,489
Suzette,490
Rima,491
Aslaug,492
Iris,493
Sultan,494
Eva,495
Rebekka,496
Asha,497
Anne-Dorte,498
Evy,499
Lien,500
Lilia,501
Borghild,502
Gertrude,503
Sharon,504
Valentina,505
Carina,506
Mia,507
Mie,508
Layla,509
Valentine,510
Kristina,511
Bolette,512
Natalie,513
Natalia,514
Maha,515
Dorothy,516
Ahmad,517
Vilma,518
Eda,519
Elke,520
Halina,521
Urszula,522
Isabel,523
Jacobine,524
Lillan,525
Litta,526
Barner,527
Cecillie,528
Krystyna,529
Aicha,530
Mirsada,531
Laurentine,532
Josefina,533
Josefine,534
Selin,535
Isabell,536
Alisa,537
Grace,538
Beata,539
Otilia,540
Otilie,541
Auguste,542
Augusta,543
Alvine,544
Manal,545
Roma,546
Elinor,547
Karen-Marie,548
Marlene,549
Ketty,550
May-Britt,551
A,552
Margareta,553
Margarete,554
Margareth,555
Thala,556
Liva,557
Eugenia,558
Caroline,559
Eugenie,560
Deborah,561
Carolina,562
Anwar,563
Elizabeth,564
Therese,565
Grazyna,566
Theresa,567
Saida,568
Zehra,569
Valeria,570
Judi,571
Valerie,572
Milena,573
Zainab,574
Judy,575
Severine,576
Mai-Britt,577
Chelina,578
Gjertrud,579
Adelaide,580
Helin,581
Megan,582
Herta,583
Anke,584
Lida,585
Margarita,586
Marna,587
Zeynep,588
Nour,589
Nette,590
Terese,591
Teresa,592
Anne-Dorthe,593
Marika,594
Elva,595
Kathrin,596
Tora,597
Aaris,598
Salomine,599
Maia,600
Sadia,601
Alicia,602
Hellen,603
Thora,604
Edvardine,605
Margueritha,606
Jelena,607
Aviaaja,608
Kirstin,609
Jannie,610
Meryem,611
Gunnild,612
Theresia,613
Edele,614
Anne-Sophie,615
Gyrithe,616
Kjerstine,617
Bianca,618
Tasja,619
Edith,620
Mimi,621
Danuta,622
Helvig,623
H,624
Catja,625
Betinna,626
Aase,627
Winnie,628
Emine,629
Emina,630
Denise,631
Mette-Marie,632
Florentine,633
Ritta,634
Patricia,635
Annemarie,636
Jutta,637
Mathea,638
Albertha,639
Alberthe,640
Hatice,641
Betzy,642
Thao,643
Debora,644
Ann-Sophie,645
Lynn,646
Lilian,647
Dicte,648
Silje,649
Constance,650
Silja,651
Marentine,652
Lolita,653
Silva,654
Noomi,655
Dorethe,656
Sacha,657
Karoline,658
Karolina,659
Melanie,660
Marija,661
Viktoria,662
Beth,663
Berta,664
Agathe,665
Jakobine,666
Barbara,667
Karline,668
Dorthe,669
Ingeburg,670
Manuela,671
Janina,672
Melissa,673
Tekla,674
Bente,675
Benta,676
Mirjana,677
Susanne,678
Susanna,679
Iwona,680
Muna,681
Haldora,682
Dilara,683
Carol,684
I,685
Dung,686
Rena,687
Janna,688
Anja,689
Janne,690
Janni,691
Aida,692
Sanna,693
Sanne,694
Sanni,695
Frieda,696
Ebba,697
Sahra,698
Liane,699
Judith,700
Anelise,701
Margaret,702
Maria-Louise,703
Oliva,704
Shazia,705
Minna,706
Mona,707
Magdalena,708
Hoa,709
Rikke,710
Pil,711
Pia,712
Izabella,713
Bozena,714
Enid,715
Antoinette,716
Irina,717
Mari,718
Thomine,719
Engel,720
Ellen,721
Silke,722
Mee,723
Soffy,724
Melike,725
Mei,726
Lissie,727
Ruby,728
Ludovika,729
Hulda,730
Pernille,731
Dorathea,732
Malou,733
Abel,734
Solvej,735
Jensigne,736
Esta,737
Celina,738
Celine,739
Yvette,740
Mikala,741
Zeliha,742
Fritze,743
Herdis,744
Ady,745
Jette,746
Celia,747
Lita,748
Petronella,749
Norma,750
Petronelle,751
Sabah,752
Kiss,753
Sabrine,754
Sabrina,755
Elsabeth,756
Mikaela,757
J,758
Musse,759
Frederikke,760
Frederikka,761
Ulrike,762
Gerda,763
Ann-Britt,764
Jeanett,765
Ulrika,766
Valborg,767
Margret,768
Lilja,769
Louise,770
Karna,771
Camille,772
Camilla,773
Ester,774
Darling,775
Monica,776
Lan,777
Annet,778
Ania,779
Annika,780
Dorrit,781
Gertie,782
Fernanda,783
Tanja,784
Susi,785
Ayse,786
Jaqueline,787
Felicia,788
Serife,789
Lise-Lotte,790
Noor,791
Fie,792
Ayoe,793
Lonni,794
Marie-Louise,795
Christiane,796
Ella,797
Elle,798
Jin,799
Elly,800
Lonny,801
Aysel,802
Kimie,803
Ane,804
Bonnie,805
Xuan,806
Carla,807
Catarina,808
Fiona,809
Vita,810
Naima,811
Rina,812
Alfride,813
Ngoc,814
Ani,815
Sylvia,816
Anna-Grethe,817
Laurette,818
Hilleborg,819
Susan,820
K,821
Mohammed,822
Gunda,823
Leonora,824
Oktavia,825
Maibrit,826
Clara,827
Kristence,828
Nanette,829
Naomi,830
Joan,831
Dan,832
Gunhild,833
Canan,834
Filiz,835
Sigrid,836
Gisela,837
Amanda,838
Dolly,839
Metha,840
Azra,841
Elsine,842
Aagot,843
Elida,844
Erica,845
Adel,846
Kornelia,847
Sheila,848
Anne-Lise,849
Henrikke,850
Henrikka,851
Aynur,852
del,853
Magrethe,854
Ina,855
Bitten,856
Grith,857
Gritt,858
Nora,859
Tania,860
Hermine,861
Anna-Marie,862
Frances,863
Amira,864
Jessine,865
Birgit,866
Liss,867
Daisy,868
Lisa,869
Sophie,870
Lise,871
Sophia,872
Signe,873
Angelika,874
Kristiane,875
Frandsine,876
Nana,877
Malika,878
Veronika,879
Methe,880
Britha,881
Marthine,882
Rosine,883
Irma,884
Greta,885
Lizzie,886
Leise,887
Grete,888
Marietta,889
Mariette,890
Kathrine,891
Kiki,892
Kathrina,893
L,894
Alette,895
Bahar,896
Agate,897
Gita,898
Cathrine,899
Sandie,900
Cathrina,901
Melina,902
Benigne,903
Bende,904
Tamara,905
Suna,906
Ena,907
Herma,908
Henni,909
Agnieszka,910
Rose,911
Rosa,912
Henny,913
Agnethe,914
Annita,915
Mira,916
Desiree,917
Nelly,918
Sahar,919
Sascha,920
Thekla,921
Nina,922
Una,923
Stanislawa,924
Nini,925
Merve,926
Josephine,927
Nathja,928
Ea,929
Ebru,930
Simone,931
Alicja,932
Ida-Marie,933
Simona,934
Inna,935
Bushra,936
Wenche,937
Bengta,938
Addy,939
Winie,940
Adda,941
Karima,942
Smilla,943
Ane-Sofie,944
Rudi,945
Selma,946
Lillemor,947
Thilde,948
Meral,949
Alvilde,950
Sussanne,951
Svea,952
Alvilda,953
Metta,954
Mette,955
Malin,956
Metty,957
Nellie,958
Edla,959
Edle,960
Nur,961
Lisbeth,962
Elise,963
Elisa,964
Ellinor,965
Franziska,966
Nicoline,967
Aja,968
Anya,969
Svetlana,970
Hannah,971
Adeline,972
Lucie,973
Virginia,974
Kit,975
Kim,976
Dortea,977
Kia,978
Merethe,979
Rasmine,980
Thu,981
M,982
Axeline,983
Martine,984
Nathalia,985
Martina,986
Nathalie,987
Isa,988
Janet,989
Augustine,990
Anne-Marie,991
Jonna,992
Cornelia,993
Johna,994
Gabriella,995
Gabrielle,996
Lola,997
Karla,998
Lilli,999
Dolores,1000
Vilhelmine,1001
Helma,1002
Asma,1003
Regitze,1004
Aurelia,1005
Elsebet,1006
Lilly,1007
Rania,1008
Theodora,1009
Jo,1010
Abdi,1011
Kathe,1012
Merete,1013
Sevgi,1014
Michelle,1015
Michella,1016
Marry,1017
Eunike,1018
Margot,1019
Kimmie,1020
Paulina,1021
Bich,1022
Pauline,1023
Marion,1024
Tove,1025
Verna,1026
Margretha,1027
Lejla,1028
Tatjana,1029
Solvejg,1030
Elna,1031
Petrea,1032
Belinda,1033
Adele,1034
Chanette,1035
Isabella,1036
Isabelle,1037
Vivi,1038
Benny,1039
Brynhild,1040
Annie,1041
Sana,1042
Zara,1043
Ingeborg,1044
Kristense,1045
Dana,1046
Yen,1047
Hilde,1048
Hilda,1049
Violet,1050
Ragnhild,1051
Katarzyna,1052
Gunvor,1053
Frida,1054
Victoria,1055
Estrid,1056
Mariane,1057
Mariana,1058
My,1059
Ibrahim,1060
Filippa,1061
Sasha,1062
Linette,1063
Astrid,1064
Nawal,1065
Polly,1066
Elenora,1067
Anna-Lise,1068
Donna,1069
Hassan,1070
Harriet,1071
Vinnie,1072
Dina,1073
Allis,1074
Rachel,1075
Tinna,1076
Saleh,1077
Tinne,1078
Antje,1079
Monna,1080
von,1081
Daniella,1082
Anneliese,1083
Tanya,1084
Danielle,1085
Viola,1086
Jonny,1087
Ritha,1088
Adelheid,1089
Esther,1090
Rakel,1091
Fransiska,1092
Justa,1093
Glennie,1094
Elife,1095
Nancy,1096
Friederike,1097
Samar,1098
Linea,1099
Antonette,1100
Fatemeh,1101
Naasunnguaq,1102
Manna,1103
Ingelise,1104
Sol,1105
Kis,1106
Manny,1107
Gulli,1108
Kari,1109
Gulla,1110
Aleksandra,1111
Ninette,1112
Karen-Margrethe,1113
Pamela,1114
Poula,1115
Lidia,1116
Lucia,1117
Konstance,1118
Bibi,1119
Samantha,1120
Barbro,1121
Reidun,1122
Marina,1123
Alida,1124
Elfride,1125
Aviaja,1126
Betty,1127
Madeleine,1128
Elma,1129
Anett,1130
Dania,1131
Aina,1132
Carola,1133
Aino,1134
Maren,1135
Albine,1136
Zahra,1137
Antonia,1138
Rosalia,1139
Kerstin,1140
Rosalie,1141
Kicki,1142
O,1143
Hella,1144
Elsie,1145
Bertine,1146
Helle,1147
Boe,1148
Alfa,1149
Yasemin,1150
Catherina,1151
Catherine,1152
Octavia,1153
Karola,1154
Annett,1155
Katia,1156
Eli,1157
Thi,1158
Hansine,1159
Ely,1160
Zofia,1161
Ruth,1162
Norman,1163
Kitty,1164
Cemile,1165
Nadine,1166
Katharine,1167
Emmelie,1168
Katharina,1169
Tomine,1170
Brita,1171
Brith,1172
Riborg,1173
Solveig,1174
Brit,1175
Britt,1176
Helena,1177
Inger-Margrethe,1178
Helene,1179
Kirstine,1180
Florence,1181
To,1182
Luisa,1183
Luise,1184
Linda,1185
May,1186
F,1187
Mary,1188
Lissen,1189
Yvonne,1190
Mai,1191
Manon,1192
Maj,1193
Ottomine,1194
Isidora,1195
Sissel,1196
Chatrine,1197
Eve,1198
Dilan,1199
Cindy,1200
Coco,1201
Cirkeline,1202
Mikkeline,1203
Margrete,1204
Edna,1205
Cherie,1206
Rose-Marie,1207
Lonnie,1208
Gertrud,1209
Katinka,1210
Lara,1211
Anne-Kathrine,1212
Ellen-Margrethe,1213
Sabine,1214
Angelina,1215
Sabina,1216
Maiken,1217
Monique,1218
Gunhilde,1219
Wivi,1220
Gunhilda,1221
Madsine,1222
Vilhelmina,1223
P,1224
Berit,1225
Charlotte,1226
Charlotta,1227
Jolanta,1228
Anemone,1229
Berith,1230
Chrestine,1231
Katja,1232
Lona,1233
Gustava,1234
Lone,1235
Zeinab,1236
Chalotte,1237
Anne-Sofie,1238
Vilhelma,1239
Alaa,1240
Leyla,1241
Jessica,1242
Kerstine,1243
Linn,1244
Kristin,1245
Olivia,1246
Linh,1247
Line,1248
Lina,1249
Maggi,1250
Margit,1251
Christense,1252
Georgine,1253
Salome,1254
Sibel,1255
Marta,1256
Verona,1257
Mildred,1258
Botilde,1259
Jennifer,1260
Anna-Sofie,1261
Natasja,1262
Elfriede,1263
Susse,1264
Klara,1265
Arnannguaq,1266
Farah,1267
Sussi,1268
Pouline,1269
Daniela,1270
Kira,1271
Rita,1272
Lena,1273
Lene,1274
Leni,1275
Katherine,1276
Jadwiga,1277
Birthe,1278
Arendse,1279
Senada,1280
Birtha,1281
Katty,1282
Lana,1283
Anika,1284
Gun,1285
Claire,1286
Majbritt,1287
Edina,1288
Majbrith,1289
Nicola,1290
Nicole,1291
Britta,1292
Kathleen,1293
Abelone,1294
Ane-Marie,1295
Molly,1296
Sidsel,1297
Flavia,1298
Franciska,1299
Kathinka,1300
Dorte,1301
Ingrid,1302
Alexia,1303
Konkordie,1304
Maybritt,1305
Hertha,1306
Alfhild,1307
Johnna,1308
Regina,1309
Regine,1310
Aya,1311
Hildur,1312
Sigrun,1313
Gudny,1314
Cecilie,1315
Liselotte,1316
Magdalene,1317
Cecilia,1318
Margith,1319
Ansine,1320
Bentine,1321
Jennie,1322
Ernestine,1323
Sine,1324
Sasja,1325
Jytta,1326
Shila,1327
Jytte,1328
Huda,1329
Gunild,1330
Sisse,1331
Lisbet,1332
Annesofie,1333
Karine,1334
Anisa,1335
Unni,1336
Karina,1337
Gunni,1338
Katy,1339
Marguerite,1340
Abeline,1341
Gunna,1342
Kate,1343
Ann-Katrine,1344
Milly,1345
Ada,1346
Wendy,1347
Mille,1348
Fanny,1349
Milla,1350
Malgorzata,1351
Etly,1352
Vera,1353
Tuyet,1354
Babette,1355
Dianna,1356
Saima,1357
Thit,1358
Alva,1359
Anita,1360
Agnes,1361
Stefania,1362
Stefanie,1363
Juliane,1364
Ivana,1365
Lovisa,1366
Lovise,1367
Carin,1368
Elsemarie,1369
Amy,1370
Miriam,1371
Catrine,1372
Marga,1373
Hilal,1374
Bine,1375
Levin,1376
Xenia,1377
R,1378
Abir,1379
Siri,1380
Hedvig,1381
Katerina,1382
Annamarie,1383
Inge-Marie,1384
Melek,1385
Asta,1386
Eja,1387
Latifa,1388
Abdullahi,1389
Nada,1390
Irmgard,1391
Merry,1392
Mirjam,1393
Anne-Louise,1394
Lillie,1395
Hannelore,1396
Gytte,1397
Knudsine,1398
Jeanet,1399
Maryam,1400
Heidi,1401
Mercedes,1402
Heide,1403
Bent,1404
Dyveke,1405
Eleonore,1406
Mohamad,1407
Eleonora,1408
Joyce,1409
Randi,1410
Tara,1411
Randa,1412
Fatima,1413
Ghita,1414
Vanessa,1415
Nanna,1416
Jill,1417
Agda,1418
Hiba,1419
Lillian,1420
Apollonie,1421
Stella,1422
Adriana,1423
Cathinka,1424
Else-Marie,1425
Christel,1426
Beate,1427
Nikita,1428
Diana,1429
Esra,1430
Methea,1431
Zoe,1432
Kamma,1433
Pi,1434
Petra,1435
Paula,1436
Christinna,1437
Aurora,1438
Bebiane,1439
Nanny,1440
Christence,1441
Joanna,1442
Hansa,1443
S,1444
Maggie,1445
Ethel,1446
Meta,1447
Alison,1448
Cille,1449
Loa,1450
Lill,1451
Lili,1452
Bethina,1453
Louisa,1454
Turid,1455
Fatma,1456
Natacha,1457
Lily,1458
Fatme,1459
Ayan,1460
Yrsa,1461
Jul,1462
Sandra,1463
Malene,1464
Ragna,1465
Malena,1466
Flora,1467
Vicki,1468
Sidse,1469
Claudine,1470
Jamal,1471
Vicky,1472
Hanan,1473
Ana,1474
Cathrin,1475
Ann,1476
Anh,1477
Elvira,1478
Alise,1479
Annegrete,1480
Jensine,1481
Ying,1482
Any,1483
Jacoba,1484
Judit,1485
Maline,1486
Michala,1487
Christa,1488
Anne-Mette,1489
Alma,1490
Seher,1491
Janie,1492
Lizette,1493
Annica,1494
Rigborg,1495
Dorete,1496
Carmen,1497
Kristel,1498
Gloria,1499
Evelyn,1500
Julie,1501
Lajla,1502
Julia,1503
Neel,1504
Iben,1505
Hodan,1506
Vigga,1507
Amal,1508
Bo,1509
Camila,1510
Maryan,1511
Heike,1512
Gitta,1513
Gitte,1514
Marguerita,1515
Nielsine,1516
Thue,1517
Thyra,1518
T,1519
Inger-Lise,1520
Ingerlise,1521
Jeannett,1522
Marchen,1523
Bernhardine,1524
Cindie,1525
Kitt,1526
Laila,1527
Kamille,1528
Kamilla,1529
Sun,1530
Povline,1531
Anne-Merete,1532
Bendte,1533
Bothilde,1534
Bernadette,1535
Mika,1536
Gunver,1537
Amela,1538
Connie,1539
Teresia,1540
Edel,1541
Konradine,1542
Yasmin,1543
Leila,1544
Maud,1545
Maj-Britt,1546
Didde,1547
Mari-Ann,1548
Mariann,1549
Bessie,1550
Ingegerd,1551
Manja,1552
Angelica,1553
Dagny,1554
Lotte,1555
Elzbieta,1556
Magda,1557
Tabitha,1558
Liisa,1559
Erna,1560
Lydie,1561
Lydia,1562
Chili,1563
Jeannie,1564
Gudrun,1565
Sille,1566
Anastasia,1567
Dea,1568
Jenny,1569
Fadumo,1570
Tea,1571
Ivalu,1572
Diane,1573
Albertine,1574
Ivalo,1575
Kristine,1576
Jenni,1577
Erika,1578
Rabia,1579
Ivy,1580
Anina,1581
Anine,1582
Anitta,1583
Ally,1584
Nickie,1585
Iman,1586
Marit,1587
Elsa,1588
Else,1589
Vang,1590
Marie,1591
Maria,1592
Hanne,1593
Hanna,1594
Michaela,1595
Freja,1596
Hanni,1597
Karin,1598
Fornavn,1599
N,1600
Ann-Louise,1601
Marwa,1602
Thuy,1603
Benita,1604
Alba,1605
Bettina,1606
Joy,1607
Annelie,1608
